,title,genre,day,star,synopsis,director,actor
103,미션 임파서블: 폴아웃,"액션, 모험, 스릴러", 2018.07.25. ,9.15,"도난당한 핵무기를 되찾아 오는 위험천만한 작전 중, 에단 헌트(톰 크루즈)는 임무를 포기하고, 팀원의 목숨을 구하는 선택을 한다. 이제, 핵무기는 문명을 무너뜨리려는 사악한 테러조직의 손에 넘어갔다. 세계를 멸망시킬 핵 재앙을 막기 위해 세계 최강 스파이기관, IMF의 에단 헌트와 정예 요원들(사이먼 페크, 빙 라메스, 레베카 퍼거슨)은 숙명의 라이벌, 중앙정보국 CIA의 상급 요원(헨리 카빌)과 불편한 동맹을 맺어야만 한다. 이보다 더 불가능한 미션은 없었다! 역대 최대 규모, 최강 액션을 기대하라!",크리스토퍼 맥쿼리,"['톰 크루즈', '헨리 카빌', '사이먼 페그', '레베카 퍼거슨']"
104,쥬라기 월드: 폴른 킹덤,"액션, 모험, SF", 2018.06.06. ,8.55,"지상 최대의 테마파크 ‘쥬라기 월드’가 폐쇄된 이후 화산 폭발 조짐이 일어나자, 오웬(크리스 프랫)과 클레어(브라이스 달라스 하워드)는 공룡들의 멸종을 막기 위해 이슬라 누블라 섬으로 떠난다. 한편, 진화된 공룡들을 이용하려는 세력의 거대한 음모가 드러나고, 절대 지상에 존재해선 안될 위협적 공룡들이 마침내 세상 밖으로 등장하게 되는데… 공룡들의 세상이 돌아온다!",후안 안토니오 바요나,"['크리스 프랫', '브라이스 달라스 하워드', '제프 골드브럼', '라프 스팰']"
105,앤트맨과 와스프,"액션, 모험, SF", 2018.07.04. ,8.85,‘시빌 워’ 사건 이후 은둔하며 히어로와 가장의 역할 사이에서 고민 중이던 ‘앤트맨’과 새로운 파트너 ‘와스프’ 앞에 정체불명의 빌런 ‘고스트’가 등장한다. 시공간의 개념이 사라진 양자 영역으로 들어갈 수 있는 기술을 훔쳐 달아난 고스트를 쫓던 앤트맨과 와스프는 상상도 못했던 상황에 직면하는데…,페이튼 리드,"['폴 러드', '에반젤린 릴리', '마이클 더글라스', '마이클 페나']"
106,안시성,액션, 2018.09.19. ,8.63,"우리는 물러서는 법을 배우지 못했다! 우리는 무릎 꿇는 법을 배우지 못했다! 우리는 항복이라는 걸 배우지 못했다! 천하를 손에 넣으려는 당 태종은 수십만 대군을 동원해 고구려의 변방 안시성을 침공한다. 20만 당나라 최강 대군 VS 5천명의 안시성 군사들. 40배의 전력 차이에도 불구하고, 안시성 성주 양만춘과 전사들은 당나라에 맞서 싸우기로 결심하는데… 동아시아 역사상 가장 위대한 승리를 이끈 안시성 전투가 시작된다!",김광식,"['조인성', '남주혁', '박성웅', '배성우']"
107,블랙 팬서,다큐멘터리, 2018.02.14. ,,이 영화는 1968년 여름 오클랜드(캘리포니아)에서 촬영되었다. 블랙팬서 당은 그들의 지도자 중 하나인 휴이 뉴턴을 석방하고 그의 재판을 정치적 논쟁으로 바꾸기 위한 모임을 조직했다. 이들은 미국의 관심을 끌고자 노력했고 또한 성공했다. [제21회 서울국제여성영화제],아녜스 바르다,"[None, None, None, None]"
108,완벽한 타인,드라마, 2018.10.31. ,9.08,"우리 게임 한 번 해볼까? 다들 핸드폰 올려봐 저녁 먹는 동안 오는 모든 걸 공유하는 거야 전화, 문자, 카톡, 이메일 할 것 없이 싹! 오랜만의 커플 모임에서 한 명이 게임을 제안한다. 바로 각자의 핸드폰을 테이블 위에 올려두고 통화 내용부터 문자와 이메일까지 모두 공유하자고 한 것. 흔쾌히 게임을 시작하게 된 이들의 비밀이 핸드폰을 통해 들통나면서 처음 게임을 제안했던 것과는 전혀 다른 상상치 못한 결말로 흘러가는데…. 상상한 모든 예측이 빗나간다!",이재규,"['유해진', '조진웅', '이서진', '염정아']"
109,독전,범죄, 2018.05.22. ,8.41,"의문의 폭발 사고 후, 오랫동안 마약 조직을 추적해온 형사 ‘원호’(조진웅)의 앞에 조직의 후견인 ‘오연옥’(김성령)과 버림받은 조직원 ‘락’(류준열)이 나타난다. 그들의 도움으로 아시아 마약 시장의 거물 ‘진하림’(김주혁)과 조직의 숨겨진 인물 ‘브라이언’(차승원)을 만나게 되면서 그 실체에 대한 결정적 단서를 잡게 되는데… 끝까지 의심하라! 독한 자들의 전쟁이 시작된다!",이해영,"['조진웅', '류준열', '김주혁', '김성령']"
110,아쿠아맨,"액션, 모험, SF", 2018.12.19. ,8.77,"땅의 아들이자 바다의 왕, 심해의 수호자인 슈퍼히어로 아쿠아맨의 탄생을 그린 액션 블록버스터",제임스 완,"['제이슨 모모아', '앰버 허드', '니콜 키드먼', '패트릭 윌슨']"
111,공작,드라마, 2018.08.08. ,7.86,"1993년, 북한 핵 개발을 둘러싸고 한반도의 위기가 고조된다. 정보사 소령 출신으로 안기부에 스카우트된 박석영(황정민)은 ‘흑금성’이라는 암호명으로 북핵의 실체를 캐기 위해 북의 고위층 내부로 잠입하라는 지령을 받는다. 안기부 해외실장 최학성(조진웅)과 대통령 외에는 가족조차도 그의 실체를 모르는 가운데 대북사업가로 위장해 베이징 주재 북 고위간부 리명운(이성민)에게 접근한 흑금성. 그는 수 년에 걸친 공작 끝에, 리명운과 두터운 신의를 쌓고 그를 통해서, 북한 권력층의 신뢰를 얻는데 성공한다. 그러나, 1997년. 남의 대선 직전에 흑금성은 남과 북의 수뇌부 사이 은밀한 거래를 감지한다. 조국을 위해 굳은 신념으로 모든 것을 걸고 공작을 수행했던 그는 걷잡을 수 없는 갈등에 휩싸이는데…",윤종빈,"['황정민', '이성민', '조진웅', '주지훈']"
112,베놈,"액션, SF, 스릴러", 2018.10.03. ,8.25,"진실을 위해서라면 몸을 사리지 않는 정의로운 열혈 기자 '에디 브록' 거대 기업 라이프 파운데이션의 뒤를 쫓던 그는 이들의 사무실에 잠입했다가 실험실에서 외계 생물체 '심비오트'의 기습 공격을 받게 된다. '심비오트'와 공생하게 된 '에디 브록'은 마침내 한층 강력한 '베놈'으로 거듭나고, 악한 존재만을 상대하려는 '에디 브록'의 의지와 달리 '베놈'은 난폭한 힘을 주체하지 못하는데…! 지배할 것인가, 지배당할 것인가",루벤 플레셔,"['톰 하디', '미셸 윌리엄스', '리즈 아메드', '제니 슬레이트']"
113,암수살인,"범죄, 드라마", 2018.10.03. ,8.58,"“일곱, 총 일곱 명 입니다. 제가 죽인 사람들예.” 수감된 살인범 강태오(주지훈)는 형사 김형민(김윤석)에게 추가 살인을 자백한다. 형사의 직감으로 자백이 사실임을 확신하게 된 형민은, 태오가 적어준 7개의 살인 리스트를 믿고 수사에 들어간다. “이거 못 믿으면 수사 못한다. 일단 무조건 믿고, 끝까지 의심하자.” 태오의 추가 살인은 세상에 알려지지 않은 암수사건. 형민은 태오가 거짓과 진실을 교묘히 뒤섞고 있다는 걸 알게 되지만 수사를 포기하지 않는다. 그러나 다가오는 공소시효와 부족한 증거로 인해 수사는 난항을 겪게 되는데…",김태균,"['김윤석', '주지훈', '진선규', '정종준']"
114,데드풀 2,"액션, 모험, 코미디, SF", 2018.05.16. ,9.09,"암치료를 위한 비밀 실험에 참여한 후, 강력한 힐링팩터 능력을 지닌 슈퍼히어로 데드풀로 거듭난 웨이드 윌슨(라이언 레놀즈), 운명의 여자친구 바네사(모레나 바카린)와 행복한 미래를 꿈꾸지만 다시 나락으로 떨어지고, 밑바닥까지 내려간 데드풀은 더 나은 사람이 되기로 결심한다. 어느 날, 미래에서 시간 여행이 가능한 용병 케이블(조슈 브롤린)이 찾아 오면서 새로운 사건이 발생하고 데드풀은 생각지도 못한 기상천외 패밀리를 결성하게 되는데...",데이빗 레이치,"['라이언 레이놀즈', '조슈 브롤린', '재지 비츠', '모레나 바카린']"
115,국가부도의 날,드라마, 2018.11.28. ,8.71,"1997년, 대한민국 최고의 경제 호황을 믿어 의심치 않았던 그때, 곧 엄청난 경제 위기가 닥칠 것을 예견한 한국은행 통화정책팀장 ‘한시현’(김혜수)은 이 사실을 보고하고, 정부는 뒤늦게 국가부도 사태를 막기 위한 비공개 대책팀을 꾸린다. 한편, 곳곳에서 감지되는 위기의 시그널을 포착하고 과감히 사표를 던진 금융맨 ‘윤정학’(유아인)은 국가부도의 위기에 투자하는 역베팅을 결심, 투자자들을 모으기 시작한다. 이런 상황을 알 리 없는 작은 공장의 사장이자 평범한 가장 ‘갑수’(허준호)는 대형 백화점과의 어음 거래 계약서에 도장을 찍고 소박한 행복을 꿈꾼다. 국가부도까지 남은 시간 단 일주일. 대책팀 내부에서 위기대응 방식을 두고 시현과 ‘재정국 차관’(조우진)이 강하게 대립하는 가운데, 시현의 반대에도 불구하고 ‘IMF 총재’(뱅상 카셀)가 협상을 위해 비밀리에 입국하는데… 위기를 막으려는 사람과 위기에 베팅하는 사람, 그리고 회사와 가족을 지키려는 평범한 사람, 1997년, 서로 다른 선택을 했던 사람들의 이야기가 시작된다!",최국희,"['김혜수', '유아인', '허준호', '조우진']"
116,코코,"애니메이션, 모험, 코미디", 2018.01.11. ,9.2,뮤지션을 꿈꾸는 소년 미구엘은 전설적인 가수 에르네스토의 기타에 손을 댔다 ‘죽은 자들의 세상’에 들어가게 된다. 그리고 그곳에서 만난 의문의 사나이 헥터와 함께 상상조차 못했던 모험을 시작하게 되는데… 과연 ‘죽은 자들의 세상’에 숨겨진 비밀은? 그리고 미구엘은 무사히 현실로 돌아올 수 있을까?,리 언크리치,"['안소니 곤잘레스', '가엘 가르시아 베르날', '벤자민 브랫', '알라나 우바치']"
117,그것만이 내 세상,"코미디, 드라마", 2018.01.17. ,9.17,"한때는 WBC 웰터급 동양 챔피언이었지만 지금은 오갈 데 없어진 한물간 전직 복서 '조하'(이병헌). 우연히 17년 만에 헤어진 엄마 '인숙'(윤여정)과 재회하고, 숙식을 해결하기 위해 따라간 집에서 듣지도 보지도 못했던 뜻밖의 동생 '진태'(박정민)와 마주한다. 난생처음 봤는데… 동생이라고?! 라면 끓이기, 게임도 최고로 잘하지만 무엇보다 피아노에 천재적 재능을 지닌 서번트증후군 진태. 조하는 입만 열면 ""네~"" 타령인 심상치 않은 동생을 보자 한숨부터 나온다. 하지만 캐나다로 가기 위한 경비를 마련하기 전까지만 꾹 참기로 결심한 조하는 결코 만만치 않은 불편한 동거생활을 하기 시작하는데… 살아온 곳도, 잘하는 일도, 좋아하는 것도 다른 두 형제가 만났다!",최성현,"['이병헌', '윤여정', '박정민', '문숙']"
118,마녀,미스터리, 2018.06.27. ,8.58,"10년 전 의문의 사고가 일어난 시설에서 홀로 탈출한 후 모든 기억을 잃은 ‘자윤’. 나이도, 이름도 모르는 자신을 거두고 키워준 노부부의 보살핌으로 씩씩하고 밝은 여고생으로 자라났다. 어려운 집안사정을 돕기 위해 상금이 걸린 오디션 프로그램에 출연한 자윤, 방송이 나간 직후부터 의문의 인물들이 그녀 앞에 나타난다. 자윤의 주변을 맴돌며 날카롭게 지켜보는 남자 ‘귀공자’, 그리고 과거 사고가 일어난 시점부터 사라진 아이를 찾던 ‘닥터 백’과 ‘미스터 최’까지 자신은 전혀 기억하지 못하는 그들의 등장으로, 자윤은 혼란에 휩싸이게 되는데...! 그들이 나타난 후 모든 것이 바뀌었다",박훈정,"['김다미', '조민수', '박희순', '최우식']"
119,탐정: 리턴즈,"코미디, 범죄", 2018.06.13. ,8.99,"역대급 미제 사건을 해결한 추리 콤비, 셜록 덕후 만화방 주인 ‘강대만’(권상우)과 광역수사대 레전드 형사 ‘노태수’(성동일)! 드디어 대한민국 최초 탐정사무소를 개업하고, 전직 사이버 수사대 에이스 ‘여치’(이광수)까지 영입하며 탐정으로서의 첫 발을 내딛는다. 하지만 꿈과 현실은 다른 법! 기다리는 사건 대신 파리만 날리고, 생활비 압박에 결국 경찰서까지 찾아가 몰래 영업을 뛰기 시작한다. 드디어 기다림 끝에 찾아온 첫 의뢰인. 게다가 성공보수는 무려 5천만 원! 자신만만하게 사건을 받아 든 세 사람은 파헤칠수록 꼬리에 꼬리를 무는 의심스러운 증거들로 혼란에 빠지기 시작하는데… ""우리가 가는 길 미제사건이란 없다"" 최강 트리플 콤비의 본격 추리가 시작된다!",이언희,"['권상우', '성동일', '이광수', '서영희']"
120,인크레더블 2,"애니메이션, 액션, 모험", 2018.07.18. ,9.32,"슈퍼맘 ‘헬렌’이 국민 히어로 ‘일라스티걸’로 활약하며 세상의 주목을 받자 바쁜 아내의 몫까지 집안일을 하기 위해 육아휴직을 낸 아빠 ‘밥’은 질풍노도 시기의 딸 ‘바이올렛’, 자기애가 넘치는 아들 ‘대쉬’, 어마무시한 능력을 시도때도 없이 방출하는 막내 ‘잭잭’까지 전담하며 전쟁같은 하루하루를 보낸다. 그러던 어느 날, 각자의 위치에서 바쁜 일상을 보내던 슈퍼파워 가족 앞에 새로운 악당이 나타났다! 다시 한번 세상을 구하기 위해 나선 가족은 ‘인크레더블’한 능력을 발휘할 수 있을까?",브래드 버드,"['크레이그 T. 넬슨', '사무엘 L. 잭슨', '홀리 헌터', '사라 보웰']"
121,서치,드라마, 2018.08.29. ,8.96,"목요일 저녁, 딸 마고에게 걸려온 부재중전화 3통 아빠 데이빗은 그 후 연락이 닿지 않는 딸이 실종됐음을 알게된다. 경찰의 조사는 본격적으로 시작되지만 결정적인 단서들이 나오지 않는 가운데, 실종된 날 밤 마고가 향하던 곳이 밝혀지며 새로운 사실들이 발견된다. 사건의 실마리를 찾은 곳은 다름 아닌 딸 마고의 노트북 구글, 유튜브, 페이스북 등 SNS에서 상상조차하지 못한 딸의 진실이 펼쳐지는데… 현실에서는 찾을 수 없는 딸의 흔적을 검색하다!",아니쉬 차간티,"['존 조', '데브라 메싱', '미셸 라', '조셉 리']"
122,너의 결혼식,멜로/로맨스, 2018.08.22. ,9,"고3 여름, 전학생 ‘승희’(박보영)를 보고 첫눈에 반한 ‘우연’(김영광). 승희를 졸졸 쫓아다닌 끝에 마침내 공식커플로 거듭나려던 그때! 잘 지내라는 전화 한 통만 남긴 채 승희는 사라져버리고, 우연의 첫사랑은 그렇게 막을 내리는 듯했다. 1년 뒤, 승희의 흔적을 쫓아 끈질긴 노력으로 같은 대학에 합격한 우연. 그런데 그의 앞을 가로막은 건… 다름 아닌 그녀의 남.자.친.구! 예술로 빗나가는 타이밍 속 다사다난한 그들의 첫사랑 연대기는 계속된다!",이석근,"['박보영', '김영광', '강기영', '고규필']"
123,곤지암,"공포, 미스터리", 2018.03.28. ,7.51,"1979년 환자 42명의 집단 자살과 병원장의 실종 이후, 섬뜩한 괴담으로 둘러싸인 곤지암 정신병원으로 공포체험을 떠난 7명의 멤버들 원장실, 집단 치료실, 실험실, 열리지 않는 402호… 괴담의 실체를 담아내기 위해 병원 내부를 촬영하기 시작하던 멤버들에게 상상도 못한 기이하고 공포스러운 일들이 실제로 벌어지기 시작 하는데… 가지 말라는 곳에는 반드시 이유가 있다. 소름 끼치는 ‘곤지암 정신병원’ 의 실체를 체험하라!",정범식,"['위하준', '박지현', '오아연', '문예원']"
124,지금 만나러 갑니다,멜로/로맨스, 2018.03.14. ,8.98,"비가 오는 날 다시 돌아오겠다는 믿기 힘든 약속을 남기고 세상을 떠난 ‘수아’. 그로부터 1년 뒤 장마가 시작되는 어느 여름 날, 세상을 떠나기 전과 다름없는 모습의 ‘수아’가 나타난다. 하지만 ‘수아’는 ‘우진’이 누구인지조차도 기억하지 못한다. 난, 너와 다시 사랑에 빠졌어. 자신을 기억하지 못해도 그녀가 곁에 있다는 사실만으로 행복에 젖은 ‘우진’과 자신이 기억하지 못하는 그와의 이야기가 궁금한 ‘수아’. ‘우진’이 들려주는 첫 만남, 첫 사랑, 첫 데이트, 첫 행복의 순간을 함께 나누며 ‘수아’는 ‘우진’과 다시 사랑에 빠지는데… 기다려 주세요 지금 만나러 갑니다",이장훈,"['소지섭', '손예진', '김지환', '고창석']"
125,목격자,스릴러, 2018.08.15. ,7.56,"모두가 잠든 새벽, 비명소리를 듣고 베란다에 나간 ‘상훈’(이성민)은 살인사건을 목격하게 된다. 신고를 하려던 순간, 손가락을 까딱거리며 자신의 아파트 층수를 세는 범인 ‘태호’(곽시양)와 눈이 마주치게 되는데… 살인을 목격한 순간, 나는 놈의 다음 타겟이 되었다. 단 1초도 멈출 수 없는 추격이 시작된다!",조규장,"['이성민', '김상호', '진경', '곽시양']"
126,조선명탐정: 흡혈괴마의 비밀,"모험, 코미디", 2018.02.08. ,7.51,"기이한 불에 사람들이 타 죽는 미스터리한 사건이 계속되자 명탐정 김민과 파트너 서필이 다시 뭉친다. 그러던 중 사건 현장에서 자꾸 의문의 여인과 마주치게 되고, 직감적으로 그녀와 사건이 관련되어 있음을 느낀 명탐정 콤비는 의문의 여인과 함께 사건을 쫓기 시작한다. 범인이 남긴 단서들로 다음 목표물을 찾아낸 세 사람, 하지만 정체를 알 수 없는 남자 흑도포와 의문의 자객들이 세 사람의 수사를 방해하기 시작하는데… 모든 귀(鬼)들의 힘이 가장 세지는 보름! 만월에 열리는 달맞이 연회에 일어날 다섯 번째 살인을 막아라!",김석윤,"['김명민', '오달수', '김지원', '김범']"
127,신비한 동물들과 그린델왈드의 범죄,"모험, 가족, 판타지", 2018.11.14. ,7.45,"‘뉴트 스캐맨더’(에디 레드메인)의 활약으로 강력한 어둠의 마법사 ‘겔러트 그린델왈드’(조니 뎁)가 미합중국 마법부 MACUSA에 붙잡히지만, 이내 장담했던 대로 탈출해 추종자를 모으기 시작한다. 순혈 마법사의 세력을 모아 마법을 사용하지 않는 사람들을 지배하려는 그린델왈드의 야욕을 막기 위해 ‘알버스 덤블도어’(주드 로)는 제자였던 뉴트에게 도움을 요청한다. 마법사 사회는 점점 더 분열되어 가는 가운데, 앞날의 위험을 알지 못한 채 뉴트는 이를 승낙하는데…",데이빗 예이츠,"['에디 레드메인', '조니 뎁', '캐서린 워터스턴', '주드 로']"
128,메이즈 러너: 데스 큐어,"액션, SF, 스릴러", 2018.01.17. ,8.15,"미스터리한 조직 ‘위키드’에게 잡힌 ‘민호’(이기홍)를 구하기 위해 ‘토마스’(딜런 오브라이언)와 러너들은 ‘위키드’의 본부가 있는 최후의 도시로 향한다. 인류의 운명이 걸린 ‘위키드’의 위험한 계획을 알게 된 ‘토마스’와 러너들은 마지막 사투를 준비하지만, ‘토마스’는 친구와 인류의 운명 앞에서 딜레마에 빠지게 되는데…",웨스 볼,"['딜런 오브라이언', '토마스 생스터', '카야 스코델라리오', '이기홍']"
129,맘마미아!2,뮤지컬, 2018.08.08. ,9.08,"“인생은 짧고 세상은 넓어. 멋진 추억을 만들고 싶어!” 엄마 도나(메릴 스트립)의 모든 것이 담긴 호텔 재개장을 준비하며 홀로서기를 결심한 소피. 그녀는 엄마의 영원한 친구 타냐와 로지, 그리고 사랑스러운 세 아빠들 샘, 해리, 빌에게 리오픈 파티 초대장을 보낸다. 한편 소피는 파티 준비 중 엄마의 숨겨진 찬란했던 추억과 비밀을 들여다보게 되고, 뜻밖의 손님까지 방문하는데… 과연 한여름의 파티는 무사히 열릴 수 있을까? “엄마가 자랑스러워할 인생 최고의 파티를 열게요!”",올 파커,"['아만다 사이프리드', '릴리 제임스', '메릴 스트립', '피어스 브로스넌']"
130,레디 플레이어 원,"액션, SF, 모험", 2018.03.28. ,8.73,"2045년, 암울한 현실과 달리 가상현실 오아시스(OASIS)에서는 누구든 원하는 캐릭터로 어디든지 갈 수 있고, 뭐든지 할 수 있고 상상하는 모든 게 가능하다. 웨이드 와츠(타이 쉐리던) 역시 유일한 낙은 대부분의 사람들이 하루를 보내는 오아시스에 접속하는 것이다. 어느 날 오아시스의 창시자인 괴짜 천재 제임스 할리데이(마크 라이런스)는 자신이 가상현실 속에 숨겨둔 3개의 미션에서 우승하는 사람에게 오아시스의 소유권과 막대한 유산을 상속한다는 유언을 남기고, 그가 사랑했던 80년대 대중문화 속에 힌트가 있음을 알린다. 제임스 할리데이를 선망했던 소년 ‘웨이드 와츠’가 첫 번째 수수께끼를 푸는 데 성공하자 이를 저지하기 위해 현실에서 살인도 마다하지 않는 ‘IOI’라는 거대 기업이 뛰어든다. 모두의 꿈과 희망이 되는 오아시스를 지키기 위해서는 반드시 우승해야 한다! 그리고 우승을 위해서는 가상현실이 아닌 현실세계의 우정과 사랑의 힘이 필요하기만 한데…",스티븐 스필버그,"['마크 라이런스', '사이먼 페그', '올리비아 쿡', '타이 쉐리던']"
131,명당,, 2018.09.19. ,7.75,"땅의 기운을 점쳐 인간의 운명을 바꿀 수 있는 천재지관 박재상(조승우)은 명당을 이용해 나라를 지배하려는 장동 김씨 가문의 계획을 막다 가족을 잃게 된다. 13년 후, 복수를 꿈꾸는 박재상 앞에 세상을 뒤집고 싶은 몰락한 왕족 흥선(지성)이 나타나 함께 장동 김씨 세력을 몰아낼 것을 제안한다. 뜻을 함께하여 김좌근 부자에게 접근한 박재상과 흥선은 두 명의 왕이 나올 천하명당의 존재를 알게 되고, 서로 다른 뜻을 품게 되는데…",박희곤,"['조승우', '지성', '김성균', '문채원']"
132,협상,범죄, 2018.09.19. ,8.16,"어떠한 상황에서도 냉철함을 잃지 않던 최고의 협상가 ‘하채윤’은 긴급 투입된 현장에서 인질과 인질범 모두 사망하는 사건을 겪고 충격에 휩싸인다. 그로부터 10일 후, 경찰청 블랙리스트에 오른 국제 범죄조직의 무기 밀매업자 ‘민태구’가 태국에서 한국 경찰과 기자를 납치하고 그녀를 협상 대상으로 지목한다. 이유도 목적도 조건도 없이 사상 최악의 인질극을 벌이는 ‘민태구’와 그를 멈추기 위해 한치도 물러설 수 없는 협상가 ‘하채윤’ 남은 시간 12시간, 목숨을 건 일생일대의 협상이 시작된다!",이종석,"['손예진', '현빈', '김상호', '장영남']"
133,마약왕,"범죄, 드라마", 2018.12.19. ,7.18,"“애국이 별게 아니다! 일본에 뽕 팔믄 그게 바로 애국인기라!” 마약도 수출하면 애국이 되던 1970년대 대한민국, 하급 밀수업자였던 이두삼은 우연히 마약 밀수에 가담했다가 마약 제조와 유통 사업에 본능적으로 눈을 뜨게 되면서 사업에 뛰어든다. “이 나라는 내가 먹여 살렸다 아이가” 뛰어난 눈썰미, 빠른 위기대처능력, 신이 내린 손재주로 단숨에 마약업을 장악한 이두삼 사업적인 수완이 뛰어난 로비스트 김정아(배두나)가 합류하면서 그가 만든 마약은 '메이드인 코리아'라는 브랜드를 달게 된다. 마침내 이두삼은 대한민국을 넘어 아시아까지 세력을 확장하며 백색 황금의 시대를 열게 된다 한편, 마약으로 인해 세상은 점점 불안해지기 시작하고 승승장구하는 이두삼을 주시하는 한 사람 김인구(조정석)가 움직이기 시작하는데…",우민호,"['송강호', '조정석', '배두나', '김소진']"
134,쥬만지: 새로운 세계,"액션, 모험", 2018.01.03. ,8.44,"학교 창고를 청소하다가 낡은 ‘쥬만지’ 비디오 게임을 발견한 네 명의 아이들. 게임 버튼을 누르는 순간 화면 속으로 빨려 들어가버렸다! 거대한 몸집의 고고학자 닥터 브레이브스톤(드웨인 존슨)으로 변한 공부벌레 스펜서, 슈퍼 여전사 루비 라운드하우스(카렌 길런)가 된 운동신경 제로 마사, 저질체력의 동물학 전문가 무스 핀바(케빈 하트)가 된 예비 풋볼선수 프리지, 중년의 지도 연구학 교수 셸리 오베론(잭 블랙)으로 변해버린 SNS 중독 퀸카 베서니까지. 게임 안에서 주어진 목숨의 기회는 단 세 번뿐! 이들은 자신의 아바타가 가진 능력으로 게임 속 세계를 구해야만 현실로 돌아갈 수 있는데…",제이크 캐스단,"['드웨인 존슨', '잭 블랙', '케빈 하트', '카렌 길런']"
135,PMC: 더 벙커,액션, 2018.12.26. ,6.53,"글로벌 군사기업(PMC) 블랙리저드의 캡틴 에이헵(하정우)은 미국 CIA의 의뢰로 거액의 프로젝트를 맡게 된다. 그러나 작전장소인 DMZ 지하 30M 비밀벙커에는 약속된 타깃이 아닌 뜻밖의 인물, 북한 ‘킹’이 나타난다. 아시아 최고의 현상금이 걸린 킹, 그를 잡기 위해 캡틴 에이헵은 작전을 변경하고, 12인의 크루들과 함께 킹을 납치하는 데 성공한다. 하지만 또 다른 군사기업(PMC)의 기습과 미국 CIA의 폭격으로 함정에 빠져버린 에이헵과 블랙리저드팀. 결국 무너져버린 지하 비밀 벙커 안 부상을 입은 에이헵은 인질로 잡혀 있던 북한 최고의 엘리트 닥터 윤지의에게 도움을 요청하는데… 현 시각부로 작전 변경! 생존을 위한 리얼타임 액션이 시작된다!",김병우,"['하정우', '이선균', '제니퍼 엘', '케빈 두런드']"
136,창궐,액션, 2018.10.25. ,6.46,"밤에만 활동하는 산 자도 죽은 자도 아닌 ‘야귀(夜鬼)‘가 창궐한 세상, 위기의 조선으로 돌아온 왕자 ‘이청’(현빈)은 도처에 창궐한 야귀떼에 맞서 싸우는 최고의 무관 ‘박종사관’(조우진) 일행을 만나게 되고, 야귀떼를 소탕하는 그들과 의도치 않게 함께하게 된다. 한편, 조선을 집어삼키려는 절대악 ‘김자준’(장동건)은 이 세상을 뒤엎기 위한 마지막 계획을 감행하는데… 조선필생 VS 조선필망 세상을 구하려는 자와 멸망시키려는 자! 오늘 밤, 세상에 없던 혈투가 시작된다!",김성훈,"['현빈', '장동건', '조우진', '정만식']"
137,성난황소,범죄, 2018.11.22. ,8.66,"거칠었던 과거를 벗어나 수산시장에서 건어물 유통을 하며 건실하게 살던 동철(마동석). 어느 날 아내 지수(송지효)가 납치되고, 경찰에 신고를 하지만 그녀의 행방은 묘연하기만 하다. 그리고 동철에게 걸려 온 납치범(김성오)의 전화! 오히려 지수를 납치한 대가로 거액의 돈을 동철에게 주겠다는 파격 제안을 하고, 이에 폭발한 동철은 지수를 구하기 위해 움직이기 시작하는데…! 느낌 오지? 잘못 건드린 거",김민호,"['마동석', '송지효', '김성오', '김민재']"
138,범블비,"액션, 모험, SF", 2018.12.25. ,8.75,"지속된 디셉티콘과의 전쟁에서 위기에 몰린 옵티머스 프라임은 중요한 임무를 가진 오토봇을 지구로 보낸다. 지구에 도착한 오토봇은 인간들에게 쫓기게 되고, 낡은 비틀로 변신해 폐차장에 은둔하던 중, 찰리라는 소녀에 의해 발견된다. 비틀을 수리하던 찰리는 자신의 낡은 자동차가 거대한 로봇으로 변신하는 놀라운 광경을 목격하고, 모든 기억이 사라진 그에게 ‘범블비’라는 이름을 지어주며 서로에게 특별한 존재가 되어간다. 하지만, 범블비의 정체를 파헤치려는 인간들과 그가 가진 비밀을 쫓는 디셉티콘의 추격과 압박은 점점 더 심해지는데…",트래비스 나이트,"['헤일리 스테인펠드', '존 시나', '조지 렌드보그 주니어', '피터 쿨렌']"
139,도어락,스릴러, 2018.12.05. ,7.69,"오피스텔에 혼자 살고 있는 평범한 직장인 경민(공효진). 퇴근 후 집에 돌아온 경민은 원룸의 도어락 덮개가 열려있는 것을 발견한다. 불안한 마음에 도어락 비밀번호를 변경해보지만 그날 밤, 잠들기 전 문 밖에서 들리는 소리 '삐-삐-삐-삐- 잘못 누르셨습니다' 공포감에 휩싸인 경민은 경찰에 신고를 하지만 그들은 경민의 잦은 신고를 귀찮아 할 뿐, 대수롭지 않게 여긴다. 그리고 얼마 뒤, 경민의 원룸에서 낯선 사람의 침입 흔적과 함께 의문의 살인 사건이 발생하고 자신도 안전하지 않음을 직감한 경민은 직접 사건의 실체를 쫓게 되는데..! 열려 있는 도어락 덮개, 지문으로 뒤덮인 키패드, 현관 앞 담배꽁초 혼자 사는 원룸, 이곳에 누군가 숨어있다!",이권,"['공효진', '김예원', '김성오', '조복래']"
